GERMAN,ENGLISH
wie,How
ich,I
seine,his
dass,that
er,he
war,was
für,for
auf,on
sind,are
mit,with
sie,she
sein,be
bei,at
ein,a
haben,have
dies,this
aus,out of
durch,through
heiß,hot
Wort,Word
aber,but
was,What
einige,some
ist,is
es,it
Sie,She
oder,or
hatte,had
die,the
von,from
zu,to
und,and
ein,a
bei,at
wir,we
können,can
aus,out of
andere,other
waren,were
die,the
tun,do
ihre,her
Zeit,Time
wenn,if
werden,become
wie,How
sagte,said
ein,a
jeder,everyone
sagen,say
tut,does
Satz,Sentence
drei,three
wollen,want
Luft,Air
gut,good
auch,also
spielen,play
klein,small
Ende,End
setzen,set
Zuhause,At home
lesen,read
seits,on the side
Hafen,Harbor
groß,large
buchstabieren,spell
hinzufügen,add
auch,also
Lande,Land
hier,here
muss,must
groß,large
hoch,high
so,so
folgen,consequences
Akt,act
warum,Why
fragen,questions
Männer,Men
Veränderung,change
ging,went
Licht,Light
Art,Art
aus,out of
müssen,must
Haus,House
Bild,Picture
versuchen,attempt
uns,us
wieder,again
Tier,animal
Punkt,Point
Mutter,Mother
Welt,World
in der Nähe von,near
bauen,build
selbst,himself
Erde,Earth
Vater,Father
jeder,everyone
neu,new
Arbeit,Work
Teil,Part
nehmen,take
erhalten,receive
Ort,Location
gemacht,made
leben,life
wo,where
nach,after
zurück,back
wenig,few
nur,only
Runde,round
Mann,Man
Jahr,Year
kam,came
zeigen,show
jeder,everyone
gut,good
mir,me
geben,give
unsere,our
unter,under
Name,Surname
sehr,very
durch,through
nur,only
Formular,Form
Satz,Sentence
groß,large
denken,think
sagen,say
Hilfe,Help
niedrig,low
Linie,line
abweichen,differ
wiederum,in turn
Ursache,Caused
viel,much
bedeuten,mean
vor,before
Umzug,Relocation
Recht,Right
Junge,Boy
alt,old
zu,to
gleich,even
sie,she
alle,all
da,there
wenn,if
nach oben,up
Verwendung,use
Ihre,Her
Weg,Away
über,above
viele,many
dann,then
sie,she
schreiben,write
würde,would
wie,How
so,so
diese,this
sie,she
lange,long
machen,make
Sache,Matter
sehen,see
ihm,him
zwei,two
hat,has
suchen,seek
mehr,more
Tag,Day
könnte,could
gehen,go
kommen,come
tat,did
Anzahl,Number
klingen,sound
nicht,not
am meisten,the most
Menschen,People
meine,mine
über,above
wissen,knowledge
Wasser,Water
als,as
Anruf,Call
erste,first
die,the
können,can
nach unten,downward
Seite,Page
gewesen,been
jetzt,now
finden,find
Kopf,Head
stehen,stand
besitzen,own
Seite,Page
sollte,should
Land,country
gefunden,found
Antwort,Answer
Schule,School
wachsen,grow
Studie,study
noch,still
lernen,learn
Anlage,Attachment
Abdeckung,cover
Lebensmittel,Groceries
Sonne,Sun
vier,four
zwischen,between
Zustand,Condition
halten,hold
Auge,Eye
nie,never
letzte,last
lassen,let
Gedanken,Thoughts
Stadt,City
Baum,Tree
überqueren,cross over
Bauernhof,Farm yard
schwer,difficult
Beginn,beginning
Macht,Power
Geschichte,Story
Säge,saw
weit,far
Meer,sea
ziehen,pull
links,Left
spät,late
laufen,run
unterlassen Sie,do not
während,while
Presse,Press
Schließen,Close
Nacht,Night
realen,real
Leben,Life
wenige,few
Norden,north
Buch,Book
tragen,carry
nahm,took
Wissenschaft,Science
essen,eat
Zimmer,Room
Freund,Friend
begann,started
Idee,idea
Fisch,Fish
berg,mountain
Stopp,stop
einmal,once
Basis,Base
hören,hear
Pferd,Horse
Schnitt,cut
sicher,secure
beobachten,observe
Farbe,Color
Gesicht,Face
Holz,Wood
Haupt-,Main-
geöffnet,open
scheinen,seem
zusammen,together
nächste,next
weiß,white
Kinder,Children
Start,begin
bekam,got
gehen,go
Beispiel,Example
erleichtern,facilitate
Papier,Paper
Gruppe,group
immer,always
Musik,Music
diejenigen,those
beide,both
Marke,brand
oft,often
Schreiben,Write
bis,until
Meile,mile
Fluss,Flow
Auto,automobile
Füße,Feet
Pflege,Care
zweite,second
genug,enough
Ebene,level
Mädchen,Girl
üblich,usual
jung,young
bereit,ready
oben,above
je,ever
rot,red
Liste,list
obwohl,although
fühlen,feel
Vortrag,Speech
Vogel,Bird
bald,soon
Körper,Body
Hund,Dog
Familie,Family
direkt,direct
Pose,pose
verlassen,leave
Lied,song
messen,measure
Tür,door
Produkt,product
schwarz,black
kurz,short
Zahl,Number
Klasse,Class
Wind,wind
Frage,Ask
passieren,happen
vollständig,complete
Schiff,Ship
Bereich,Area
Hälfte,half
Stein,Stone
bestellen,order
Feuer,Fire
Süden,south
Problem,problem
Stück,Piece
sagte,said
wusste,knew
passieren,happen
seit,since
obere,upper
ganze,whole
König,king
Straße,Street
Zoll,Customs
multiplizieren,multiply
nichts,nothing
Kurs,course
bleiben,remain
Rad,wheel
voll,full
Kraft,Power
blau,blue
Objekt,object
entscheiden,decide
Oberfläche,surface
tief,deep
Mond,moon
Insel,Island
Fuß,Foot
System,system
beschäftigt,busy
Prüfung,Test
Rekord,record
Boot,boat
gemeinsam,together
goldenen,golden
möglich,possible
Flugzeug,Airplane
statt,instead of
trocken,dry
Wunder,Wonder
Lachen,Laugh
tausend,thousand
vor,before
lief,ran
überprüfen,check
Spiel,Game
Form,shape
gleichsetzen,equate
heiß,hot
Fehl,Fail
gebracht,brought
Wärme,warmth
Schnee,Snow
Reifen,Tires
bringen,bring
ja,Yes
entfernt,removed
füllen,to fill
Osten,east
malen,to paint
Sprache,Language
unter,under
Einheit,Unit
Macht,Power
Stadt,City
fein,fine
sicher,secure
fliegen,fly
fallen,fall
führen,lead
Schrei,Scream
dunkel,dark
Maschine,machine
note,grade
warten,wait
Plan,plan
Abbildung,Illustration
Stern,star
Kasten,Crate
Nomen,noun
Feld,Field
Rest,rest
richtig,correct
fähig,capable
Pfund,Pound
getan,did
Schönheit,beauty
Antriebs,drive
stand,was standing
enthalten,contain
Front,front
lehren,to teach
Woche,Week
Finale,final
gab,gave
grün,green
oh,Oh
schnell,fast
entwickeln,develop
Ozean,ocean
warme,warmth
kostenlos,for free
Minute,minute
stark,strong
besondere,special
Geist,Spirit
hinter,behind
klar,clear
Schwanz,tail
produzieren,to produce
Tatsache,fact
Raum,Space
gehört,heard
beste,best
Stunde,Hour
besser,better
wahr,true
während,while
hundert,hundred
fünf,five
merken,notice
Schritt,Step
früh,early
halten,hold
Westen,west
Boden,Floor
Interesse,interest
erreichen,to reach
schnell,fast
Verbum,verb
singen,to sing
hören,hear
sechs,six
Tabelle,Table
Reise,Trip
weniger,fewer
Morgen,Morning
zehn,ten
einfach,simply
mehrere,several
Vokal,Vocal
auf,on
Krieg,War
legen,place
gegen,against
Muster,Pattern
schleppend,dragging
Zentrum,center
Liebe,Love
Person,person
Geld,Money
dienen,serve
erscheinen,appear
Straße,Street
Karte,Map
regen,rain
Regel,Rule
regieren,govern
ziehen,pull
Kälte,cold
Hinweis,Notice
Stimme,Agree
Energie,energy
Jagd,hunt
wahrscheinlich,probably
Bett,Bed
Bruder,Brother
Ei,egg
Fahrt,Drive
Zelle,cell
glauben,believe
vielleicht,perhaps
pflücken,pick
plötzlich,suddenly
zählen,to count
Platz,Place
Grund,Reason
Dauer,Length of time
vertreten,represent
Kunst,Art
Thema,Theme
Region,region
Größe,Size
variieren,vary
regeln,regulate
sprechen,speak
Gewicht,Weight
allgemein,generally
Eis,Ice
Materie,matter
Kreis,Circle
Paar,Couple
umfassen,include
Kluft,gap
Silbe,syllable
Filz,felt
groß,large
Kugel,Bullet
noch,still
Welle,Wave
fallen,fall
Herz,Heart
Uhr,Clock
vorhanden,available
schwer,difficult
Tanz,dance
Motor,engine
Position,position
Arm,poor
breit,broad
Segel,sail
Material,material
Fraktion,fraction
Wald,Forest
sitzen,sit
Rennen,Run
Fenster,Window
Speicher,Storage
Sommer,Summer
Zug,Train
Schlaf,Sleep
beweisen,prove
einsam,lonely
Bein,leg
Übung,Exercise
Wand,Wall
Fang,Catch
Berg,Mountain
wünschen,wish
Himmel,Heaven
Board,board
Freude,Joy
Winter,winter
sa,sat
geschrieben,written
wilden,wild
Instrument,instrument
gehalten,held
Glas,Glass
Gras,grass
Kuh,Cow
Arbeit,Work
Rand,edge
Zeichen,Sign
Besuch,Visit
Vergangenheit,Past
weich,soft
Spaß,Fun
hell,bright
Gases,gas
Wetter,Weather
Monat,Month
Million,million
tragen,carry
Finish,finish
glücklich,happy
hoffen,hope
blume,flower
kleiden,dress
seltsam,strange
Vorbei,Over
Handel,trade
Melodie,melody
Reise,Trip
Büro,Office
empfangen,received
Reihe,Row
Mund,mouth
genau,Exactly
Zeichen,Sign
sterben,die
am wenigsten,the least
Ärger,Trouble
Schrei,Scream
außer,except
schrieb,wrote
Samen,seeds
Ton,volume
beitreten,join
vorschlagen,suggest
sauber,clean
Pause,Break
Dame,lady
Hof,court
steigen,climb
schlecht,bad
Schlag,Blow
Öl,oil
Blut,blood
berühren,touch
wuchs,growth
Cent,cent
mischen,Mix
Mannschaft,team
Draht,wire
Kosten,Cost
verloren,lost
braun,brown
tragen,carry
Garten,Garden
gleich,even
gesendet,Posted
wählen,choose
fiel,fell
passen,fit
fließen,flow
Messe,Fair
Bank,Bank
sammeln,collect
sparen,save
Kontrolle,control
dezimal,decimal
Ohr,Ear
sonst,otherwise
ganz,quite
pleite,broke
Fall,case
Mitte,center
töten,kill
Sohn,Son
See,lake
Moment,moment
Maßstab,scale
laut,loud
Frühling,Spring
beobachten,observe
Kind,child
gerade,straight
Konsonant,consonant
Nation,nation
Wörterbuch,dictionary
milch,milk
Geschwindigkeit,speed
Verfahren,Proceedings
Orgel,organ
zahlen,pay
Alter,Old
Abschnitt,Section
Kleid,Dress
Wolke,Cloud
Überraschung,Surprise
ruhig,quiet
Stein,Stone
winzig,tiny
Aufstieg,Ascension
kühlen,cool
Entwurf,Draft
arm,poor
Menge,Crowd
Versuch,Attempt
Boden,Floor
Schlüssel,Key
Eisen,iron
Einzel,singles
Stick,stick
Wohnung,Apartment
zwanzig,twenty
Haut,skin
Lächeln,Smile
Falte,wrinkle
Loch,Hole
springen,jump
Kind,child
acht,eight
Dorf,Village
treffen,meet
Wurzel,root
kaufen,buy
erhöhen,increase
lösen,solve
Metall,metal
ob,if
drücken,press
sieben,seven
Absatz,Paragraph
dritte,third
wird,becomes
Hand,hand
Haar,hair
beschreiben,describe
Koch,Cook
Boden,Floor
entweder,either
Ergebnis,Result
brennen,burn
Hügel,hill
sicher,secure
Katze,Cat
Jahrhundert,century
betrachten,regard
Typ,Type
Gesetz,Law
Bit,bit
Küste,coast
Kopie,Copy
Ausdruck,Expression
still,quiet
hoch,high
Sand,sand
Boden,Floor
Rolle,role
Temperatur,temperature
Finger,finger
Industrie,Industry
Wert,Value
Kampf,Battle
Lüge,lie
schlagen,hit
begeistern,inspire
natürlich,naturally
Blick,View
Sinn,sense
Hauptstadt,Capital city
wird nicht,won't
Stuhl,Chair
Achtung,Danger
Obst,Fruit
reich,rich
dick,thick
Soldat,soldier
Prozess,process
betreiben,operate
Praxis,Practice
trennen,separate
schwierig,difficult
Arzt,Physician
Bitte,Please
schützen,protect
Mittag,Midday
Ernte,harvest
modernen,modern
Elementes,element
treffen,meet
Schüler,Pupils
Ecke,Corner
Partei,Political party
Versorgung,care
deren,whose
lokalisieren,locate
Rings,Rings
Charakter,character
insekt,insect
gefangen,caught
Zeit,Time
zeigen,show
Funk,Wireless
Speiche,spoke
Atom,atom
Mensch,Person
Geschichte,Story
Wirkung,Effect
elektrisch,electric
erwarten,expect
Knochen,Bone
Schiene,rail
vorstellen,introduce
bieten,offer
zustimmen,agree
so,so
sanft,soft
Frau,Woman
Kapitän,captain
erraten,guess
erforderlich,necessary
scharf,sharp
Flügel,wing
schaffen,create
Nachbar,Neighbor
Wasch,Wash
Fledermaus,bat
eher,rather
Menge,Crowd
mais,Corn
vergleichen,compare
Gedicht,poem
Schnur,line
Glocke,Bell jar
abhängen,depend
Fleisch,Meat
einreiben,rub in
Rohr,Pipe
berühmt,famous
Dollar,dollar
Strom,Electricity
Angst,Fear
Blick,View
dünn,thin
Dreieck,triangle
Erde,Earth
Eile,Hurry
Chef,boss
Kolonie,colony
Uhr,Clock
Mine,mine
Krawatte,Necktie
eingeben,input
Dur,Major
frisch,fresh
Suche,Search
senden,send
gelb,yellow
Pistole,gun
erlauben,allow
Druck,Pressure
tot,dead
Stelle,Job
Wüste,Desert
Anzug,Men's suit
Strom,Electricity
Aufzug,Elevator
stiegen,rose
ankommen,arrive
Stamm,tribe
Spur,track
Elternteil,parent
Ufer,Riverbank
Teilung,division
Blatt,Sheet
Substanz,substance
begünstigen,favor
verbinden,connect
nach,after
verbringen,spend
Akkord,chord
Fett,Fat
froh,glad
Original,Original
Aktie,share
Station,station
Papa,father
Brot,Bread
aufladen,charge
richtig,correct
Leiste,strip
Angebot,Offer
Segment,segment
Sklave,slave
ente,duck
Augenblick,moment
Markt,market
Grad,Degree
besiedeln,settle
küken,chick
liebe,love
Feind,Enemy
antworten,answer
Getränk,drink
auftreten,appear
Unterstützung,Support
Rede,speech
Natur,Nature
Angebot,Offer
Dampf,steam
Bewegung,Movement
Weg,Away
Flüssigkeit,liquid
protokollieren,to log
gemeint,meant
Quotient,quotient
Gebiss,denture
Schale,Peel
Hals,Neck
Sauerstoff,oxygen
Zucker,Sugar
Tod,Death
ziemlich,quite
Geschicklichkeit,skill
Frauen,Women
Saison,season
Lösung,Solution
Magnet,magnet
Silber,Silver
danken,to thank
Zweig,branch
Spiel,Game
Suffix,suffix
insbesondere,in particular
Feige,Cowardly
ängstlich,fearful
riesig,gigantic
Schwester,Sister
Stahl,steel
diskutieren,discuss
vorwärts,forward
ähnlich,similar
führen,lead
Erfahrung,Experience
Partitur,score
apfel,apple
gekauft,bought
geführt,guided
Tonhöhe,pitch
Mantel,Coat
Masse,Dimensions
Karte,Map
Band,tape
Seil,Rope
Rutsch,Slide
gewinnen,win
träumen,dream
Abend,Evening
Zustand,Condition
Futtermittel,Feed
Werkzeug,Tool
gesamt,in total
Basis,Base
Geruch,Odor
Tal,valley
noch,still
doppelt,double
Sitz,Seat
fortsetzen,continue
Block,block
Tabelle,Table
Hut,cap
verkaufen,sell
Erfolg,Success
Firma,company
subtrahieren,subtract
Veranstaltung,Event
besondere,special
viel,much
schwimmen,to swim
Begriff,Expression
Gegenteil,Opposite
Frau,Woman
Schuh,shoe
Schulter,shoulder
Verbreitung,distribution
arrangieren,arrange
Lager,camp
erfinden,invent
Baumwolle,Cotton
geboren,born
bestimmen,determine
Quart,quart
neun,nine
Lastwagen,truck
Lärm,Noise
Ebene,level
Chance,chance
sammeln,collect
Geschäft,Business
Stretch,Stretch
werfen,throw
Glanz,shine
Immobilien,property
Spalte,Split
Molekül,molecule
wählen,choose
falsch,incorrect
grau,Gray
Wiederholung,Repetition
erfordern,require
breit,broad
vorbereiten,prepare
Salz,Salt
Nase,Nose
mehreren,several
Zorn,anger
Anspruch,Claim
Kontinent,continent
